Date time,Number of workers,State
"Tháng 6 26, 2024 21:48:59",5,Normal
"Tháng 6 26, 2024 21:49:00",5,Normal
"Tháng 6 26, 2024 21:49:01",5,Normal
"Tháng 6 26, 2024 21:49:02",4,Missing
"Tháng 6 26, 2024 21:49:03",5,Normal
"Tháng 6 26, 2024 21:49:04",4,Missing
"Tháng 6 26, 2024 21:49:05",4,Missing
"Tháng 6 26, 2024 21:49:06",4,Missing
"Tháng 6 26, 2024 21:49:07",4,Missing
"Tháng 6 26, 2024 21:49:08",3,Missing
"Tháng 6 26, 2024 21:49:09",4,Missing
"Tháng 6 26, 2024 21:49:11",4,Missing
"Tháng 6 26, 2024 21:49:12",3,Missing
